,Acronym,RosterID,Interceptions,InterceptionsYards,InterceptionTDs,PassDefended,ForcedFumbles,FumblesRecovered,FumbleYards,FumbleTDs,Sacks,CombinedTackles,SoloTackles,AssistedTackles,TacklesForLoss,QbHits,Safeties
163,chi,chi25ArtieBurns,0.0,0.0,0.0,6.0,,,,,0.0,23.0,19.0,4.0,1.0,0.0,
164,chi,chi26DeonBush,2.0,42.0,0.0,5.0,,,,,0.0,40.0,31.0,9.0,0.0,0.0,
165,chi,chi10DamiereByrd,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
166,chi,chi23MarquiChristian,0.0,0.0,0.0,1.0,,,,,0.0,12.0,7.0,5.0,0.0,0.0,
167,chi,chi19IsaiahCoulter,,,,,,,,,,,,,,,
168,chi,chi21XavierCrawford,,,,,,,,,0.0,15.0,11.0,4.0,0.0,0.0,
169,chi,chi14AndyDalton,,,,,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,
170,chi,chi68JamesDaniels,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
171,chi,chi97MarioEdwards,0.0,0.0,0.0,1.0,,,,,2.0,8.0,2.0,6.0,1.0,5.0,
172,chi,chi60DieterEiselen,,,,,,,,,,,,,,,
173,chi,chi01JustinFields,,,,,0.0,4.0,-11.0,0.0,0.0,,,,,,
174,chi,chi09NickFoles,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
175,chi,chi38TashaunGipson,2.0,31.0,0.0,3.0,0.0,1.0,13.0,0.0,1.0,47.0,33.0,14.0,1.0,1.0,
176,chi,chi99TrevisGipson,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,7.0,39.0,23.0,16.0,7.0,7.0,
177,chi,chi91EddieGoldman,,,,,,,,,0.5,22.0,14.0,8.0,1.0,1.0,
178,chi,chi84MarquiseGoodwin,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
179,chi,chi80JimmyGraham,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
180,chi,chi27ThomasGraham,0.0,0.0,0.0,4.0,,,,,0.0,13.0,6.0,7.0,1.0,0.0,
181,chi,chi17JakeemGrant,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
182,chi,chi24KhalilHerbert,,,,,0.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,
183,chi,chi96AkiemHicks,,,,,,,,,3.5,25.0,19.0,6.0,5.0,9.0,
184,chi,chi81J.P.Holtz,,,,,,,,,0.0,4.0,2.0,2.0,0.0,0.0,
185,chi,chi87JesperHorsted,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
186,chi,chi36DeAndreHouston-Carson,1.0,0.0,0.0,4.0,0.0,2.0,25.0,1.0,0.0,51.0,33.0,18.0,0.0,0.0,
187,chi,chi93MargusHunt,,,,,,,,,0.0,14.0,6.0,8.0,3.0,0.0,
188,chi,chi74GermainIfedi,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
189,chi,chi46BruceIrvin,,,,,,,,,,,,,,,
190,chi,chi45JoelIyiegbuniwe,,,,,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,
191,chi,chi04EddieJackson,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,76.0,54.0,22.0,4.0,0.0,
192,chi,chi18JesseJames,,,,,,,,,,,,,,,
193,chi,chi76TevenJenkins,,,,,,,,,,,,,,,
194,chi,chi92CalebJohnson,,,,,0.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,
195,chi,chi33JaylonJohnson,1.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,46.0,37.0,9.0,1.0,0.0,
196,chi,chi57ChristianJones,,,,,,,,,0.0,24.0,13.0,11.0,0.0,0.0,
197,chi,chi31MichaelJoseph,,,,,,,,,,,,,,,
198,chi,chi46SamKamara,,,,,,,,,,,,,,,
199,chi,chi39ThakariusKeyes,,,,,,,,,,,,,,,
200,chi,chi85ColeKmet,,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
201,chi,chi63LaCaleLondon,,,,,,,,,,,,,,,
202,chi,chi52KhalilMack,,,,,0.0,1.0,23.0,0.0,6.0,19.0,15.0,4.0,6.0,7.0,
203,chi,chi43LedariusMack,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
204,chi,chi59CassiusMarsh,,,,,,,,,,,,,,,
205,chi,chi32DavidMontgomery,,,,,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
206,chi,chi11DarnellMooney,,,,,,,,,0.0,4.0,4.0,0.0,0.0,0.0,
207,chi,chi67SamMustipher,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
208,chi,chi35RyanNall,,,,,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,
209,chi,chi83DazzNewsome,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
210,chi,chi98BilalNichols,0.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,3.0,51.0,26.0,25.0,5.0,9.0,
211,chi,chi16PatO'Donnell,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
212,chi,chi44AlecOgletree,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,87.0,55.0,32.0,5.0,3.0,
213,chi,chi71JasonPeters,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
214,chi,chi31ArtavisPierce,,,,,,,,,,,,,,,
215,chi,chi94RobertQuinn,,,,,4.0,0.0,0.0,0.0,18.5,49.0,38.0,11.0,17.0,22.0,
216,chi,chi12AllenRobinson,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,
217,chi,chi02CairoSantos,,,,,,,,,,,,,,,
218,chi,chi48PatrickScales,,,,,,,,,0.0,4.0,2.0,2.0,0.0,0.0,
219,chi,chi20DukeShelley,0.0,0.0,0.0,3.0,,,,,0.0,37.0,30.0,7.0,0.0,0.0,
220,chi,chi73LachaviousSimmons,,,,,,,,,,,,,,,
221,chi,chi58RoquanSmith,1.0,53.0,1.0,3.0,,,,,3.0,163.0,95.0,68.0,12.0,4.0,
222,chi,chi49CharlesSnowden,,,,,,,,,,,,,,,
223,chi,chi79DamionSquare,,,,,,,,,,,,,,,
224,chi,chi37TeezTabor,,,,,,,,,0.0,8.0,6.0,2.0,0.0,0.0,
225,chi,chi79AlexTaylor,,,,,,,,,,,,,,,
226,chi,chi95KhyirisTonga,,,,,0.0,1.0,0.0,0.0,0.0,24.0,10.0,14.0,1.0,0.0,
227,chi,chi59DannyTrevathan,,,,,,,,,,,,,,,
228,chi,chi22KindleVildor,0.0,0.0,0.0,4.0,,,,,1.0,46.0,33.0,13.0,1.0,1.0,
229,chi,chi30DeeVirgin,,,,,,,,,0.0,3.0,2.0,1.0,0.0,0.0,
230,chi,chi15NsimbaWebster,,,,,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,
231,chi,chi65CodyWhitehair,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
232,chi,chi70ElijahWilkinson,,,,,,,,,,,,,,,
233,chi,chi08DamienWilliams,,,,,,,,,0.0,5.0,4.0,1.0,0.0,0.0,
234,chi,chi55JoshWoods,,,,,,,,,,,,,,,
235,cin,sfo53TyrellAdams,,,,,,,,,,,,,,,
236,cin,sfo11BrandonAiyuk,,,,,,,,,,,,,,,
237,cin,sfo51AzeezAl-Shaair,0.0,0.0,0.0,3.0,,,,,0.5,38.0,21.0,17.0,0.0,1.0,
238,cin,sfo91ArikArmstead,,,,,3.0,0.0,0.0,0.0,14.0,34.0,21.0,13.0,12.0,27.0,
239,cin,sfo62AaronBanks,,,,,,,,,,,,,,,
